x: 0.000000	log(Y): 1.805062	y: 6.080351
x: 28.643216	log(Y): 0.787093	y: 2.197001
x: 29.145729	log(Y): 0.844561	y: 2.326957
x: 29.648241	log(Y): 0.587305	y: 1.799133
x: 30.150754	log(Y): 0.721371	y: 2.057251
x: 30.653266	log(Y): 0.765366	y: 2.149782
x: 31.155779	log(Y): 0.711313	y: 2.036664
x: 31.658291	log(Y): 0.650892	y: 1.917250
x: 32.160804	log(Y): 0.545296	y: 1.725119
x: 32.663317	log(Y): 0.839771	y: 2.315837
x: 33.165829	log(Y): 0.709979	y: 2.033949
x: 33.668342	log(Y): 0.798771	y: 2.222808
x: 34.170854	log(Y): 0.711216	y: 2.036466
x: 34.673367	log(Y): 0.572301	y: 1.772341
x: 35.175879	log(Y): 0.744954	y: 2.106344
x: 35.678392	log(Y): 0.522734	y: 1.686632
x: 36.180905	log(Y): 0.672863	y: 1.959840
x: 36.683417	log(Y): 0.503317	y: 1.654199
x: 37.185930	log(Y): 0.567422	y: 1.763714
x: 37.688442	log(Y): 0.704509	y: 2.022853
x: 38.190955	log(Y): 0.593315	y: 1.809978
x: 38.693467	log(Y): 0.831758	y: 2.297354
x: 39.195980	log(Y): 0.698827	y: 2.011391
x: 39.698492	log(Y): 0.684727	y: 1.983231
x: 40.201005	log(Y): 0.577384	y: 1.781372
x: 40.703518	log(Y): 0.391816	y: 1.479665
x: 41.206030	log(Y): 0.525319	y: 1.690998
x: 41.708543	log(Y): 0.527713	y: 1.695051
x: 42.211055	log(Y): 0.206168	y: 1.228960
x: 42.713568	log(Y): 0.400896	y: 1.493162
x: 43.216080	log(Y): 0.211417	y: 1.235427
x: 43.718593	log(Y): 0.340372	y: 1.405470
x: 44.221106	log(Y): 0.389586	y: 1.476369
x: 44.723618	log(Y): 0.342801	y: 1.408888
x: 45.226131	log(Y): 0.437686	y: 1.549119
x: 45.728643	log(Y): 0.370586	y: 1.448583
x: 46.231156	log(Y): 0.219815	y: 1.245846
x: 46.733668	log(Y): 0.294943	y: 1.343050
x: 47.236181	log(Y): 0.386468	y: 1.471773
x: 47.738693	log(Y): 0.487500	y: 1.628241
x: 48.241206	log(Y): 0.542343	y: 1.720033
x: 48.743719	log(Y): 0.373738	y: 1.453156
x: 49.246231	log(Y): 0.372965	y: 1.452033
x: 49.748744	log(Y): 0.467859	y: 1.596572
x: 50.251256	log(Y): 0.395786	y: 1.485552
x: 50.753769	log(Y): 0.284834	y: 1.329541
x: 51.256281	log(Y): 0.371310	y: 1.449633
x: 51.758794	log(Y): 0.502853	y: 1.653432
x: 52.261307	log(Y): 0.507007	y: 1.660315
x: 52.763819	log(Y): 0.267796	y: 1.307080
x: 53.266332	log(Y): 0.221710	y: 1.248209
x: 53.768844	log(Y): 0.155571	y: 1.168325
x: 54.271357	log(Y): 0.136800	y: 1.146599
x: 54.773869	log(Y): 0.241112	y: 1.272663
x: 55.276382	log(Y): 0.412165	y: 1.510084
x: 55.778894	log(Y): 0.125155	y: 1.133324
x: 56.281407	log(Y): 0.151472	y: 1.163546
x: 56.783920	log(Y): 0.241991	y: 1.273783
x: 57.286432	log(Y): 0.268768	y: 1.308351
x: 57.788945	log(Y): 0.455173	y: 1.576446
x: 58.291457	log(Y): 0.274477	y: 1.315842
x: 58.793970	log(Y): 0.271072	y: 1.311370
x: 59.296482	log(Y): 0.154560	y: 1.167144
x: 59.798995	log(Y): 0.383593	y: 1.467548
x: 60.301508	log(Y): 0.182287	y: 1.199959
x: 60.804020	log(Y): 0.388543	y: 1.474830
x: 61.306533	log(Y): 0.249556	y: 1.283456
x: 61.809045	log(Y): 0.099383	y: 1.104489
x: 62.311558	log(Y): 0.228493	y: 1.256705
x: 62.814070	log(Y): 0.161605	y: 1.175396
x: 63.316583	log(Y): 0.278206	y: 1.320758
x: 63.819095	log(Y): 0.310637	y: 1.364294
x: 64.321608	log(Y): 0.259221	y: 1.295920
x: 64.824121	log(Y): 0.138262	y: 1.148276
x: 65.326633	log(Y): 0.230260	y: 1.258927
x: 65.829146	log(Y): 0.105038	y: 1.110753
x: 66.331658	log(Y): 0.111657	y: 1.118129
x: 66.834171	log(Y): 0.236505	y: 1.266814
x: 67.336683	log(Y): 0.178252	y: 1.195127
x: 67.839196	log(Y): 0.108896	y: 1.115046
x: 68.341709	log(Y): 0.199645	y: 1.220969
x: 68.844221	log(Y): 0.100520	y: 1.105746
x: 69.346734	log(Y): 0.149055	y: 1.160737
x: 69.849246	log(Y): 0.190860	y: 1.210290
x: 70.351759	log(Y): 0.387248	y: 1.472921
x: 70.854271	log(Y): 0.066661	y: 1.068933
x: 71.356784	log(Y): 0.065304	y: 1.067484
x: 71.859296	log(Y): 0.291508	y: 1.338444
x: 72.361809	log(Y): 0.266851	y: 1.305846
x: 72.864322	log(Y): 0.156581	y: 1.169506
x: 73.366834	log(Y): 0.112241	y: 1.118783
x: 73.869347	log(Y): 0.099500	y: 1.104618
x: 74.371859	log(Y): -0.161984	y: 0.850455
x: 74.874372	log(Y): 0.010779	y: 1.010837
x: 75.376884	log(Y): 0.107308	y: 1.113277
x: 75.879397	log(Y): 0.102475	y: 1.107910
x: 76.381910	log(Y): 0.090633	y: 1.094867
x: 76.884422	log(Y): 0.113295	y: 1.119962
x: 77.386935	log(Y): 0.166411	y: 1.181059
x: 77.889447	log(Y): 0.027170	y: 1.027542
x: 78.391960	log(Y): 0.088826	y: 1.092891
x: 78.894472	log(Y): 0.076442	y: 1.079440
x: 79.396985	log(Y): 0.091472	y: 1.095786
x: 79.899497	log(Y): 0.215843	y: 1.240907
x: 80.402010	log(Y): -0.060281	y: 0.941500
x: 80.904523	log(Y): 0.176403	y: 1.192919
x: 81.407035	log(Y): -0.030677	y: 0.969789
x: 81.909548	log(Y): 0.139212	y: 1.149368
x: 82.412060	log(Y): 0.109692	y: 1.115934
x: 82.914573	log(Y): 0.104133	y: 1.109748
x: 83.417085	log(Y): 0.143355	y: 1.154139
x: 83.919598	log(Y): 0.049710	y: 1.050966
x: 84.422111	log(Y): 0.089273	y: 1.093379
x: 84.924623	log(Y): 0.163728	y: 1.177894
x: 85.427136	log(Y): 0.022415	y: 1.022668
x: 85.929648	log(Y): -0.006143	y: 0.993876
x: 86.432161	log(Y): -0.077420	y: 0.925501
x: 86.934673	log(Y): 0.153328	y: 1.165707
x: 87.437186	log(Y): 0.026578	y: 1.026934
x: 87.939698	log(Y): -0.040846	y: 0.959977
x: 88.442211	log(Y): 0.176963	y: 1.193587
x: 88.944724	log(Y): -0.126232	y: 0.881410
x: 89.447236	log(Y): 0.165611	y: 1.180114
x: 89.949749	log(Y): 0.059180	y: 1.060966
x: 90.452261	log(Y): 0.091961	y: 1.096322
x: 90.954774	log(Y): 0.252404	y: 1.287116
x: 91.457286	log(Y): 0.183918	y: 1.201917
x: 91.959799	log(Y): 0.026746	y: 1.027107
x: 92.462312	log(Y): -0.005316	y: 0.994698
x: 92.964824	log(Y): -0.106063	y: 0.899368
x: 93.467337	log(Y): -0.035993	y: 0.964647
x: 93.969849	log(Y): 0.036463	y: 1.037136
x: 94.472362	log(Y): -0.044471	y: 0.956503
x: 94.974874	log(Y): 0.159847	y: 1.173331
x: 95.477387	log(Y): 0.019959	y: 1.020160
x: 95.979899	log(Y): -0.012084	y: 0.987989
x: 96.482412	log(Y): -0.041499	y: 0.959350
x: 96.984925	log(Y): 0.089152	y: 1.093247
x: 97.487437	log(Y): 0.224144	y: 1.251251
x: 97.989950	log(Y): 0.121022	y: 1.128650
x: 98.492462	log(Y): 0.003270	y: 1.003275
x: 98.994975	log(Y): 0.067880	y: 1.070237
x: 99.497487	log(Y): 0.015039	y: 1.015153
x: 100.000000	log(Y): -0.004284	y: 0.995725
