x: 0.000000	y: 5.066959	w: 4.000000
x: 16.032064	y: 2.392763	w: 19.875758
x: 16.232465	y: 1.987474	w: 20.278087
x: 16.432866	y: 2.270956	w: 20.688561
x: 16.633267	y: 2.275677	w: 21.107344
x: 16.833667	y: 1.649160	w: 21.534603
x: 17.034068	y: 2.002466	w: 21.970512
x: 17.234469	y: 1.655559	w: 22.415244
x: 17.434870	y: 1.881717	w: 22.868978
x: 17.635271	y: 1.974559	w: 23.331897
x: 17.835671	y: 1.882051	w: 23.804187
x: 18.036072	y: 2.066602	w: 24.286037
x: 18.236473	y: 1.929617	w: 24.777641
x: 18.436874	y: 1.656862	w: 25.279195
x: 18.637275	y: 1.782987	w: 25.790903
x: 18.837675	y: 1.950159	w: 26.312968
x: 19.038076	y: 2.153088	w: 26.845601
x: 19.238477	y: 2.269522	w: 27.389016
x: 19.438878	y: 1.912959	w: 27.943431
x: 19.639279	y: 1.906813	w: 28.509068
x: 19.839679	y: 2.091224	w: 29.086155
x: 20.040080	y: 1.940545	w: 29.674924
x: 20.240481	y: 1.731829	w: 30.275611
x: 20.440882	y: 1.882665	w: 30.888456
x: 20.641283	y: 2.140711	w: 31.513708
x: 20.841683	y: 2.142715	w: 32.151615
x: 21.042084	y: 1.681219	w: 32.802436
x: 21.242485	y: 1.599945	w: 33.466430
x: 21.442886	y: 1.492190	w: 34.143866
x: 21.643287	y: 1.459024	w: 34.835014
x: 21.843687	y: 1.613259	w: 35.540152
x: 22.044088	y: 1.906692	w: 36.259564
x: 22.244489	y: 1.425189	w: 36.993538
x: 22.444890	y: 1.457108	w: 37.742370
x: 22.645291	y: 1.588344	w: 38.506360
x: 22.845691	y: 1.624301	w: 39.285814
x: 23.046092	y: 1.948349	w: 40.081047
x: 23.246493	y: 1.618790	w: 40.892377
x: 23.446894	y: 1.605702	w: 41.720130
x: 23.647295	y: 1.422236	w: 42.564638
x: 23.847695	y: 1.779519	w: 43.426241
x: 24.048096	y: 1.447757	w: 44.305285
x: 24.248497	y: 1.770300	w: 45.202123
x: 24.448898	y: 1.532564	w: 46.117115
x: 24.649299	y: 1.311868	w: 47.050628
x: 24.849699	y: 1.484607	w: 48.003038
x: 25.050100	y: 1.380929	w: 48.974727
x: 25.250501	y: 1.543046	w: 49.966084
x: 25.450902	y: 1.584866	w: 50.977509
x: 25.651303	y: 1.496764	w: 52.009408
x: 25.851703	y: 1.318481	w: 53.062194
x: 26.052104	y: 1.436954	w: 54.136291
x: 26.252505	y: 1.260195	w: 55.232131
x: 26.452906	y: 1.260822	w: 56.350152
x: 26.653307	y: 1.419648	w: 57.490805
x: 26.853707	y: 1.330922	w: 58.654547
x: 27.054108	y: 1.233867	w: 59.841846
x: 27.254509	y: 1.342403	w: 61.053178
x: 27.454910	y: 1.207823	w: 62.289031
x: 27.655311	y: 1.259559	w: 63.549900
x: 27.855711	y: 1.304605	w: 64.836292
x: 28.056112	y: 1.577040	w: 66.148723
x: 28.256513	y: 1.136728	w: 67.487721
x: 28.456914	y: 1.127405	w: 68.853823
x: 28.657315	y: 1.403787	w: 70.247578
x: 28.857715	y: 1.360025	w: 71.669545
x: 29.058116	y: 1.209434	w: 73.120297
x: 29.258517	y: 1.148742	w: 74.600415
x: 29.458918	y: 1.126052	w: 76.110493
x: 29.659319	y: 0.860676	w: 77.651140
x: 29.859719	y: 1.015513	w: 79.222972
x: 30.060120	y: 1.110191	w: 80.826621
x: 30.260521	y: 1.096639	w: 82.462733
x: 30.460922	y: 1.075624	w: 84.131962
x: 30.661323	y: 1.091987	w: 85.834981
x: 30.861723	y: 1.142818	w: 87.572472
x: 31.062124	y: 0.986672	w: 89.345135
x: 31.262525	y: 1.041347	w: 91.153679
x: 31.462926	y: 1.020561	w: 92.998833
x: 31.663327	y: 1.027937	w: 94.881337
x: 31.863727	y: 1.154939	w: 96.801947
x: 32.064128	y: 0.869356	w: 98.761434
x: 32.264529	y: 1.092760	w: 100.760586
x: 32.464930	y: 0.881267	w: 102.800205
x: 32.665331	y: 1.036063	w: 104.881110
x: 32.865731	y: 0.997798	w: 107.004138
x: 33.066132	y: 0.984208	w: 109.170141
x: 33.266533	y: 1.015220	w: 111.379988
x: 33.466934	y: 0.916879	w: 113.634567
x: 33.667335	y: 0.946014	w: 115.934784
x: 33.867735	y: 1.010692	w: 118.281563
x: 34.068136	y: 0.870194	w: 120.675846
x: 34.268537	y: 0.838621	w: 123.118594
x: 34.468938	y: 0.774366	w: 125.610789
x: 34.669339	y: 0.967116	w: 128.153431
x: 34.869739	y: 0.844764	w: 130.747543
x: 35.070140	y: 0.782966	w: 133.394165
x: 35.270541	y: 0.965184	w: 136.094360
x: 35.470942	y: 0.706631	w: 138.849214
x: 35.671343	y: 0.937959	w: 141.659831
x: 35.871743	y: 0.835973	w: 144.527342
x: 36.072144	y: 0.856339	w: 147.452898
x: 36.272545	y: 0.996620	w: 150.437674
x: 36.472946	y: 0.922522	w: 153.482868
x: 36.673347	y: 0.781440	w: 156.589703
x: 36.873747	y: 0.750130	w: 159.759428
x: 37.074148	y: 0.672258	w: 162.993316
x: 37.274549	y: 0.714674	w: 166.292664
x: 37.474950	y: 0.761561	w: 169.658798
x: 37.675351	y: 0.696103	w: 173.093071
x: 37.875752	y: 0.846281	w: 176.596861
x: 38.076152	y: 0.729219	w: 180.171575
x: 38.276553	y: 0.699886	w: 183.818650
x: 38.476954	y: 0.673484	w: 187.539549
x: 38.677355	y: 0.760559	w: 191.335768
x: 38.877756	y: 0.862609	w: 195.208831
x: 39.078156	y: 0.771035	w: 199.160293
x: 39.278557	y: 0.679157	w: 203.191741
x: 39.478958	y: 0.717887	w: 207.304796
x: 39.679359	y: 0.674722	w: 211.501107
x: 39.879760	y: 0.655754	w: 215.782361
x: 40.080160	y: 0.678423	w: 220.150278
x: 40.280561	y: 0.703668	w: 224.606610
x: 40.480962	y: 0.665586	w: 229.153149
x: 40.681363	y: 0.645036	w: 233.791720
x: 40.881764	y: 0.618240	w: 238.524186
x: 41.082164	y: 0.546744	w: 243.352448
x: 41.282565	y: 0.676107	w: 248.278444
x: 41.482966	y: 0.671471	w: 253.304153
x: 41.683367	y: 0.516680	w: 258.431595
x: 41.883768	y: 0.572450	w: 263.662827
x: 42.084168	y: 0.564884	w: 268.999950
x: 42.284569	y: 0.649060	w: 274.445109
x: 42.484970	y: 0.675328	w: 280.000491
x: 42.685371	y: 0.637282	w: 285.668325
x: 42.885772	y: 0.646387	w: 291.450889
x: 43.086172	y: 0.541481	w: 297.350505
x: 43.286573	y: 0.611197	w: 303.369543
x: 43.486974	y: 0.616039	w: 309.510419
x: 43.687375	y: 0.606331	w: 315.775600
x: 43.887776	y: 0.540910	w: 322.167603
x: 44.088176	y: 0.568025	w: 328.688994
x: 44.288577	y: 0.600289	w: 335.342392
x: 44.488978	y: 0.460077	w: 342.130470
x: 44.689379	y: 0.624690	w: 349.055954
x: 44.889780	y: 0.452499	w: 356.121625
x: 45.090180	y: 0.458481	w: 363.330322
x: 45.290581	y: 0.508123	w: 370.684938
x: 45.490982	y: 0.415934	w: 378.188428
x: 45.691383	y: 0.502848	w: 385.843805
x: 45.891784	y: 0.377685	w: 393.654144
x: 46.092184	y: 0.515423	w: 401.622582
x: 46.292585	y: 0.482505	w: 409.752319
x: 46.492986	y: 0.504970	w: 418.046620
x: 46.693387	y: 0.479003	w: 426.508817
x: 46.893788	y: 0.486543	w: 435.142306
x: 47.094188	y: 0.443872	w: 443.950557
x: 47.294589	y: 0.463738	w: 452.937107
x: 47.494990	y: 0.493365	w: 462.105564
x: 47.695391	y: 0.467067	w: 471.459612
x: 47.895792	y: 0.476820	w: 481.003006
x: 48.096192	y: 0.421469	w: 490.739580
x: 48.296593	y: 0.446081	w: 500.673244
x: 48.496994	y: 0.496358	w: 510.807987
x: 48.697395	y: 0.320371	w: 521.147880
x: 48.897796	y: 0.380084	w: 531.697076
x: 49.098196	y: 0.359295	w: 542.459810
x: 49.298597	y: 0.470502	w: 553.440407
x: 49.498998	y: 0.394660	w: 564.643275
x: 49.699399	y: 0.401758	w: 576.072915
x: 49.899800	y: 0.385186	w: 587.733916
x: 50.100200	y: 0.517724	w: 599.630961
x: 50.300601	y: 0.326257	w: 611.768829
x: 50.501002	y: 0.415798	w: 624.152395
x: 50.701403	y: 0.379950	w: 636.786632
x: 50.901804	y: 0.430377	w: 649.676614
x: 51.102204	y: 0.454303	w: 662.827518
x: 51.302605	y: 0.336989	w: 676.244625
x: 51.503006	y: 0.348050	w: 689.933325
x: 51.703407	y: 0.420864	w: 703.899114
x: 51.903808	y: 0.368325	w: 718.147603
x: 52.104208	y: 0.324991	w: 732.684512
x: 52.304609	y: 0.406115	w: 747.515681
x: 52.505010	y: 0.348138	w: 762.647066
x: 52.705411	y: 0.345041	w: 778.084744
x: 52.905812	y: 0.343709	w: 793.834915
x: 53.106212	y: 0.344046	w: 809.903904
x: 53.306613	y: 0.359111	w: 826.298166
x: 53.507014	y: 0.350396	w: 843.024284
x: 53.707415	y: 0.322334	w: 860.088976
x: 53.907816	y: 0.318764	w: 877.499095
x: 54.108216	y: 0.380365	w: 895.261634
x: 54.308617	y: 0.293275	w: 913.383727
x: 54.509018	y: 0.340712	w: 931.872651
x: 54.709419	y: 0.323600	w: 950.735832
x: 54.909820	y: 0.360038	w: 969.980846
x: 55.110220	y: 0.309614	w: 989.615422
x: 55.310621	y: 0.310983	w: 1009.647446
x: 55.511022	y: 0.286160	w: 1030.084962
x: 55.711423	y: 0.325940	w: 1050.936180
x: 55.911824	y: 0.285094	w: 1072.209472
x: 56.112224	y: 0.318624	w: 1093.913384
x: 56.312625	y: 0.315801	w: 1116.056631
x: 56.513026	y: 0.269002	w: 1138.648107
x: 56.713427	y: 0.350624	w: 1161.696884
x: 56.913828	y: 0.300020	w: 1185.212221
x: 57.114228	y: 0.317773	w: 1209.203560
x: 57.314629	y: 0.300513	w: 1233.680537
x: 57.515030	y: 0.283947	w: 1258.652983
x: 57.715431	y: 0.311581	w: 1284.130927
x: 57.915832	y: 0.321774	w: 1310.124602
x: 58.116232	y: 0.283872	w: 1336.644446
x: 58.316633	y: 0.267480	w: 1363.701111
x: 58.517034	y: 0.270745	w: 1391.305464
x: 58.717435	y: 0.249425	w: 1419.468590
x: 58.917836	y: 0.284249	w: 1448.201801
x: 59.118236	y: 0.248092	w: 1477.516635
x: 59.318637	y: 0.279527	w: 1507.424868
x: 59.519038	y: 0.238864	w: 1537.938510
x: 59.719439	y: 0.226626	w: 1569.069816
x: 59.919840	y: 0.226455	w: 1600.831289
x: 60.120240	y: 0.248650	w: 1633.235685
x: 60.320641	y: 0.265435	w: 1666.296019
x: 60.521042	y: 0.239318	w: 1700.025567
x: 60.721443	y: 0.203894	w: 1734.437877
x: 60.921844	y: 0.253788	w: 1769.546769
x: 61.122244	y: 0.235150	w: 1805.366343
x: 61.322645	y: 0.238746	w: 1841.910984
x: 61.523046	y: 0.257061	w: 1879.195372
x: 61.723447	y: 0.260210	w: 1917.234478
x: 61.923848	y: 0.213622	w: 1956.043580
x: 62.124248	y: 0.192069	w: 1995.638266
x: 62.324649	y: 0.208654	w: 2036.034436
x: 62.525050	y: 0.242472	w: 2077.248315
x: 62.725451	y: 0.219706	w: 2119.296454
x: 62.925852	y: 0.219701	w: 2162.195742
x: 63.126253	y: 0.195367	w: 2205.963407
x: 63.326653	y: 0.235153	w: 2250.617027
x: 63.527054	y: 0.267914	w: 2296.174536
x: 63.727455	y: 0.210326	w: 2342.654231
x: 63.927856	y: 0.218702	w: 2390.074778
x: 64.128257	y: 0.196358	w: 2438.455223
x: 64.328657	y: 0.147318	w: 2487.814996
x: 64.529058	y: 0.218441	w: 2538.173921
x: 64.729459	y: 0.178710	w: 2589.552223
x: 64.929860	y: 0.174978	w: 2641.970537
x: 65.130261	y: 0.167281	w: 2695.449914
x: 65.330661	y: 0.201070	w: 2750.011833
x: 65.531062	y: 0.171036	w: 2805.678206
x: 65.731463	y: 0.197401	w: 2862.471392
x: 65.931864	y: 0.185787	w: 2920.414198
x: 66.132265	y: 0.156576	w: 2979.529896
x: 66.332665	y: 0.170102	w: 3039.842227
x: 66.533066	y: 0.175011	w: 3101.375415
x: 66.733467	y: 0.183994	w: 3164.154172
x: 66.933868	y: 0.182828	w: 3228.203710
x: 67.134269	y: 0.159539	w: 3293.549754
x: 67.334669	y: 0.180311	w: 3360.218548
x: 67.535070	y: 0.168770	w: 3428.236867
x: 67.735471	y: 0.170922	w: 3497.632029
x: 67.935872	y: 0.169512	w: 3568.431903
x: 68.136273	y: 0.190062	w: 3640.664925
x: 68.336673	y: 0.138610	w: 3714.360104
x: 68.537074	y: 0.162975	w: 3789.547038
x: 68.737475	y: 0.159924	w: 3866.255924
x: 68.937876	y: 0.123217	w: 3944.517568
x: 69.138277	y: 0.141760	w: 4024.363402
x: 69.338677	y: 0.159354	w: 4105.825495
x: 69.539078	y: 0.137921	w: 4188.936561
x: 69.739479	y: 0.154093	w: 4273.729982
x: 69.939880	y: 0.154329	w: 4360.239810
x: 70.140281	y: 0.141228	w: 4448.500790
x: 70.340681	y: 0.182383	w: 4538.548369
x: 70.541082	y: 0.156922	w: 4630.418712
x: 70.741483	y: 0.133520	w: 4724.148716
x: 70.941884	y: 0.127737	w: 4819.776024
x: 71.142285	y: 0.124626	w: 4917.339042
x: 71.342685	y: 0.156112	w: 5016.876953
x: 71.543086	y: 0.171200	w: 5118.429734
x: 71.743487	y: 0.136602	w: 5222.038169
x: 71.943888	y: 0.151917	w: 5327.743870
x: 72.144289	y: 0.143166	w: 5435.589291
x: 72.344689	y: 0.152748	w: 5545.617743
x: 72.545090	y: 0.151649	w: 5657.873417
x: 72.745491	y: 0.128576	w: 5772.401396
x: 72.945892	y: 0.139204	w: 5889.247676
x: 73.146293	y: 0.129259	w: 6008.459186
x: 73.346693	y: 0.124223	w: 6130.083803
x: 73.547094	y: 0.143348	w: 6254.170373
x: 73.747495	y: 0.125029	w: 6380.768733
x: 73.947896	y: 0.127726	w: 6509.929725
x: 74.148297	y: 0.115659	w: 6641.705225
x: 74.348697	y: 0.136793	w: 6776.148154
x: 74.549098	y: 0.118456	w: 6913.312508
x: 74.749499	y: 0.121953	w: 7053.253374
x: 74.949900	y: 0.125455	w: 7196.026956
x: 75.150301	y: 0.099735	w: 7341.690594
x: 75.350701	y: 0.128007	w: 7490.302789
x: 75.551102	y: 0.105612	w: 7641.923225
x: 75.751503	y: 0.112384	w: 7796.612798
x: 75.951904	y: 0.121837	w: 7954.433633
x: 76.152305	y: 0.101589	w: 8115.449114
x: 76.352705	y: 0.105247	w: 8279.723907
x: 76.553106	y: 0.099032	w: 8447.323988
x: 76.753507	y: 0.108494	w: 8618.316669
x: 76.953908	y: 0.109270	w: 8792.770623
x: 77.154309	y: 0.107850	w: 8970.755914
x: 77.354709	y: 0.121715	w: 9152.344025
x: 77.555110	y: 0.106229	w: 9337.607884
x: 77.755511	y: 0.102287	w: 9526.621896
x: 77.955912	y: 0.108943	w: 9719.461974
x: 78.156313	y: 0.106176	w: 9916.205566
x: 78.356713	y: 0.116819	w: 10116.931686
x: 78.557114	y: 0.075978	w: 10321.720951
x: 78.757515	y: 0.108510	w: 10530.655608
x: 78.957916	y: 0.093787	w: 10743.819568
x: 79.158317	y: 0.116641	w: 10961.298442
x: 79.358717	y: 0.089621	w: 11183.179573
x: 79.559118	y: 0.101338	w: 11409.552074
x: 79.759519	y: 0.072476	w: 11640.506859
x: 79.959920	y: 0.070281	w: 11876.136684
x: 80.160321	y: 0.093906	w: 12116.536182
x: 80.360721	y: 0.082326	w: 12361.801903
x: 80.561122	y: 0.096138	w: 12612.032349
x: 80.761523	y: 0.089617	w: 12867.328017
x: 80.961924	y: 0.086854	w: 13127.791439
x: 81.162325	y: 0.071998	w: 13393.527221
x: 81.362725	y: 0.070801	w: 13664.642089
x: 81.563126	y: 0.083019	w: 13941.244926
x: 81.763527	y: 0.081674	w: 14223.446822
x: 81.963928	y: 0.086040	w: 14511.361114
x: 82.164329	y: 0.083308	w: 14805.103433
x: 82.364729	y: 0.078720	w: 15104.791752
x: 82.565130	y: 0.081546	w: 15410.546431
x: 82.765531	y: 0.088856	w: 15722.490266
x: 82.965932	y: 0.085658	w: 16040.748541
x: 83.166333	y: 0.089361	w: 16365.449074
x: 83.366733	y: 0.071877	w: 16696.722269
x: 83.567134	y: 0.088315	w: 17034.701173
x: 83.767535	y: 0.075128	w: 17379.521523
x: 83.967936	y: 0.074378	w: 17731.321807
x: 84.168337	y: 0.066972	w: 18090.243313
x: 84.368737	y: 0.073213	w: 18456.430192
x: 84.569138	y: 0.078825	w: 18830.029509
x: 84.769539	y: 0.070916	w: 19211.191310
x: 84.969940	y: 0.069259	w: 19600.068676
x: 85.170341	y: 0.073452	w: 19996.817788
x: 85.370741	y: 0.066698	w: 20401.597986
x: 85.571142	y: 0.072241	w: 20814.571839
x: 85.771543	y: 0.068534	w: 21235.905203
x: 85.971944	y: 0.072516	w: 21665.767295
x: 86.172345	y: 0.070836	w: 22104.330755
x: 86.372745	y: 0.073836	w: 22551.771717
x: 86.573146	y: 0.068921	w: 23008.269882
x: 86.773547	y: 0.066225	w: 23474.008589
x: 86.973948	y: 0.063659	w: 23949.174885
x: 87.174349	y: 0.071421	w: 24433.959608
x: 87.374749	y: 0.065013	w: 24928.557455
x: 87.575150	y: 0.056366	w: 25433.167065
x: 87.775551	y: 0.061064	w: 25947.991100
x: 87.975952	y: 0.059765	w: 26473.236322
x: 88.176353	y: 0.057082	w: 27009.113678
x: 88.376754	y: 0.054701	w: 27555.838388
x: 88.577154	y: 0.058115	w: 28113.630025
x: 88.777555	y: 0.059589	w: 28682.712609
x: 88.977956	y: 0.063241	w: 29263.314694
x: 89.178357	y: 0.063913	w: 29855.669461
x: 89.378758	y: 0.046817	w: 30460.014809
x: 89.579158	y: 0.053643	w: 31076.593455
x: 89.779559	y: 0.053042	w: 31705.653029
x: 89.979960	y: 0.056980	w: 32347.446171
x: 90.180361	y: 0.059897	w: 33002.230638
x: 90.380762	y: 0.050728	w: 33670.269404
x: 90.581162	y: 0.064252	w: 34351.830764
x: 90.781563	y: 0.059802	w: 35047.188447
x: 90.981964	y: 0.062035	w: 35756.621720
x: 91.182365	y: 0.047458	w: 36480.415505
x: 91.382766	y: 0.053793	w: 37218.860491
x: 91.583166	y: 0.050598	w: 37972.253251
x: 91.783567	y: 0.046318	w: 38740.896360
x: 91.983968	y: 0.058189	w: 39525.098521
x: 92.184369	y: 0.045757	w: 40325.174683
x: 92.384770	y: 0.061547	w: 41141.446171
x: 92.585170	y: 0.042970	w: 41974.240815
x: 92.785571	y: 0.051721	w: 42823.893080
x: 92.985972	y: 0.043035	w: 43690.744203
x: 93.186373	y: 0.038674	w: 44575.142325
x: 93.386774	y: 0.043509	w: 45477.442639
x: 93.587174	y: 0.043882	w: 46398.007524
x: 93.787575	y: 0.040582	w: 47337.206695
x: 93.987976	y: 0.056590	w: 48295.417353
x: 94.188377	y: 0.041494	w: 49273.024331
x: 94.388778	y: 0.049303	w: 50270.420256
x: 94.589178	y: 0.045732	w: 51288.005699
x: 94.789579	y: 0.048710	w: 52326.189342
x: 94.989980	y: 0.046450	w: 53385.388137
x: 95.190381	y: 0.040490	w: 54466.027479
x: 95.390782	y: 0.035493	w: 55568.541371
x: 95.591182	y: 0.037660	w: 56693.372604
x: 95.791583	y: 0.044827	w: 57840.972930
x: 95.991984	y: 0.036191	w: 59011.803247
x: 96.192385	y: 0.043279	w: 60206.333781
x: 96.392786	y: 0.039173	w: 61425.044278
x: 96.593186	y: 0.040381	w: 62668.424194
x: 96.793587	y: 0.043326	w: 63936.972893
x: 96.993988	y: 0.038974	w: 65231.199847
x: 97.194389	y: 0.036565	w: 66551.624842
x: 97.394790	y: 0.036567	w: 67898.778184
x: 97.595190	y: 0.038647	w: 69273.200915
x: 97.795591	y: 0.035823	w: 70675.445027
x: 97.995992	y: 0.034342	w: 72106.073689
x: 98.196393	y: 0.034096	w: 73565.661466
x: 98.396794	y: 0.032930	w: 75054.794555
x: 98.597194	y: 0.040355	w: 76574.071020
x: 98.797595	y: 0.031727	w: 78124.101030
x: 98.997996	y: 0.037409	w: 79705.507105
x: 99.198397	y: 0.036206	w: 81318.924366
x: 99.398798	y: 0.039169	w: 82965.000792
x: 99.599198	y: 0.034813	w: 84644.397476
x: 99.799599	y: 0.037193	w: 86357.788895
x: 100.000000	y: 0.034954	w: 88105.863179
